"chrom","start","end","percent_methylation","methylated_reads","unmethylated_reads","read_depth","per_base_coverage"
"phage_lambda",7344,7345,100,1,0,1,1
"phage_lambda",7366,7367,0,0,1,1,1
"phage_lambda",7383,7384,100,1,0,1,1
"phage_lambda",7409,7410,0,0,1,1,1
"phage_lambda",7415,7416,0,0,1,1,1
"phage_lambda",7422,7423,0,0,1,1,1
"phage_lambda",7436,7437,0,0,1,1,1
"phage_lambda",7451,7452,0,0,1,1,1
"phage_lambda",7455,7456,0,0,1,1,1
"phage_lambda",7491,7492,0,0,2,2,2
"phage_lambda",7496,7497,0,0,2,2,2
"phage_lambda",7498,7499,0,0,2,2,2
"phage_lambda",7526,7527,0,0,2,2,2
"phage_lambda",7532,7533,0,0,2,2,2
"phage_lambda",7535,7536,0,0,2,2,2
"phage_lambda",7540,7541,0,0,2,2,2
"phage_lambda",7551,7552,0,0,2,2,2
"phage_lambda",7563,7564,0,0,2,2,2
"phage_lambda",7576,7577,0,0,1,1,1
"phage_lambda",7578,7579,0,0,1,1,1
"phage_lambda",7600,7601,0,0,1,1,1
"phage_lambda",7607,7608,0,0,1,1,1
"phage_lambda",7622,7623,0,0,1,1,1
"phage_lambda",9217,9218,0,0,1,1,1
"phage_lambda",9237,9238,0,0,1,1,1
"phage_lambda",9246,9247,0,0,1,1,1
"phage_lambda",9262,9263,0,0,1,1,1
"phage_lambda",9269,9270,0,0,1,1,1
"phage_lambda",9284,9285,0,0,1,1,1
"phage_lambda",9291,9292,0,0,1,1,1
"phage_lambda",9295,9296,0,0,1,1,1
"phage_lambda",9300,9301,0,0,1,1,1
"phage_lambda",9304,9305,0,0,1,1,1
"phage_lambda",9314,9315,0,0,1,1,1
"phage_lambda",9334,9335,0,0,1,1,1
"phage_lambda",9342,9343,0,0,1,1,1
"phage_lambda",9348,9349,0,0,1,1,1
"phage_lambda",9351,9352,0,0,1,1,1
"phage_lambda",9368,9369,0,0,1,1,1
"phage_lambda",9372,9373,0,0,1,1,1
"phage_lambda",9395,9396,0,0,1,1,1
"phage_lambda",9399,9400,0,0,1,1,1
"phage_lambda",9402,9403,0,0,1,1,1
"phage_lambda",9416,9417,0,0,1,1,1
"phage_lambda",9423,9424,0,0,1,1,1
"phage_lambda",9432,9433,100,1,0,1,1
"phage_lambda",9439,9440,0,0,1,1,1
"phage_lambda",9448,9449,0,0,1,1,1
"phage_lambda",9453,9454,0,0,1,1,1
"phage_lambda",9468,9469,0,0,1,1,1
"phage_lambda",9492,9493,0,0,1,1,1
"phage_lambda",9499,9500,0,0,1,1,1
"phage_lambda",9634,9635,0,0,1,1,1
"phage_lambda",9644,9645,0,0,1,1,1
"phage_lambda",9664,9665,0,0,1,1,1
"phage_lambda",9680,9681,0,0,1,1,1
"phage_lambda",9686,9687,0,0,1,1,1
"phage_lambda",9698,9699,0,0,1,1,1
"phage_lambda",9709,9710,0,0,1,1,1
"phage_lambda",9725,9726,0,0,1,1,1
"phage_lambda",9743,9744,0,0,1,1,1
"phage_lambda",9752,9753,0,0,1,1,1
"phage_lambda",9757,9758,0,0,1,1,1
"phage_lambda",9783,9784,0,0,1,1,1
"phage_lambda",9797,9798,0,0,1,1,1
"phage_lambda",9810,9811,0,0,1,1,1
"phage_lambda",9826,9827,0,0,1,1,1
"phage_lambda",9843,9844,0,0,1,1,1
"phage_lambda",9863,9864,100,1,0,1,1
"phage_lambda",9875,9876,0,0,1,1,1
"phage_lambda",9878,9879,100,1,0,1,1
"phage_lambda",9880,9881,100,1,0,1,1
"phage_lambda",9892,9893,0,0,1,1,1
"phage_lambda",10426,10427,0,0,1,1,1
"phage_lambda",10436,10437,0,0,1,1,1
"phage_lambda",10440,10441,0,0,1,1,1
"phage_lambda",10458,10459,0,0,1,1,1
"phage_lambda",10459,10460,0,0,1,1,1
"phage_lambda",10466,10467,0,0,1,1,1
"phage_lambda",10467,10468,0,0,1,1,1
"phage_lambda",10475,10476,0,0,1,1,1
"phage_lambda",10476,10477,0,0,1,1,1
"phage_lambda",10484,10485,0,0,1,1,1
"phage_lambda",10485,10486,0,0,1,1,1
"phage_lambda",10494,10495,0,0,1,1,1
"phage_lambda",10495,10496,0,0,1,1,1
"phage_lambda",10524,10525,0,0,1,1,1
"phage_lambda",10525,10526,0,0,1,1,1
"phage_lambda",10537,10538,0,0,1,1,1
"phage_lambda",10538,10539,0,0,1,1,1
"phage_lambda",10551,10552,0,0,1,1,1
"phage_lambda",10552,10553,0,0,1,1,1
"phage_lambda",10558,10559,0,0,1,1,1
"phage_lambda",10559,10560,0,0,1,1,1
"phage_lambda",10567,10568,0,0,1,1,1
"phage_lambda",10568,10569,0,0,1,1,1
"phage_lambda",10588,10589,0,0,1,1,1
"phage_lambda",10601,10602,0,0,1,1,1
"phage_lambda",10623,10624,0,0,1,1,1
"phage_lambda",10639,10640,0,0,1,1,1
"phage_lambda",11301,11302,0,0,1,1,1
"phage_lambda",11321,11322,0,0,1,1,1
"phage_lambda",11326,11327,0,0,1,1,1
"phage_lambda",11329,11330,0,0,1,1,1
"phage_lambda",11338,11339,0,0,1,1,1
"phage_lambda",11352,11353,100,1,0,1,1
"phage_lambda",11355,11356,100,1,0,1,1
"phage_lambda",11359,11360,0,0,1,1,1
"phage_lambda",11365,11366,100,1,0,1,1
"phage_lambda",11370,11371,0,0,1,1,1
"phage_lambda",11393,11394,0,0,1,1,1
"phage_lambda",11396,11397,0,0,1,1,1
"phage_lambda",11418,11419,0,0,1,1,1
"phage_lambda",11445,11446,0,0,1,1,1
"phage_lambda",11448,11449,0,0,1,1,1
"phage_lambda",11472,11473,0,0,1,1,1
"phage_lambda",11473,11474,0,0,1,1,1
"phage_lambda",11489,11490,0,0,1,1,1
"phage_lambda",11490,11491,0,0,1,1,1
"phage_lambda",11500,11501,0,0,1,1,1
"phage_lambda",11501,11502,0,0,1,1,1
"phage_lambda",11502,11503,0,0,1,1,1
"phage_lambda",11503,11504,0,0,1,1,1
"phage_lambda",11532,11533,0,0,1,1,1
"phage_lambda",11533,11534,0,0,1,1,1
"phage_lambda",11548,11549,0,0,1,1,1
"phage_lambda",11549,11550,0,0,1,1,1
"phage_lambda",11564,11565,0,0,1,1,1
"phage_lambda",11587,11588,0,0,1,1,1
"phage_lambda",11595,11596,0,0,1,1,1
"phage_lambda",11597,11598,0,0,1,1,1
"phage_lambda",11631,11632,0,0,1,1,1
"phage_lambda",11638,11639,0,0,1,1,1
"phage_lambda",11648,11649,0,0,1,1,1
"phage_lambda",11652,11653,0,0,1,1,1
"phage_lambda",11691,11692,0,0,1,1,1
"phage_lambda",11692,11693,0,0,1,1,1
"phage_lambda",11704,11705,0,0,1,1,1
"phage_lambda",11705,11706,0,0,1,1,1
"phage_lambda",11710,11711,0,0,1,1,1
"phage_lambda",11711,11712,0,0,1,1,1
"phage_lambda",11715,11716,0,0,1,1,1
"phage_lambda",11716,11717,0,0,1,1,1
"phage_lambda",11720,11721,0,0,1,1,1
"phage_lambda",11721,11722,0,0,1,1,1
"phage_lambda",11734,11735,0,0,1,1,1
"phage_lambda",11735,11736,0,0,1,1,1
"phage_lambda",11742,11743,0,0,1,1,1
"phage_lambda",11743,11744,0,0,1,1,1
"phage_lambda",11755,11756,0,0,1,1,1
"phage_lambda",11756,11757,0,0,1,1,1
"phage_lambda",11759,11760,0,0,1,1,1
"phage_lambda",11760,11761,0,0,1,1,1
"phage_lambda",11769,11770,0,0,1,1,1
"phage_lambda",11770,11771,0,0,1,1,1
"phage_lambda",11772,11773,0,0,1,1,1
"phage_lambda",11773,11774,0,0,1,1,1
"phage_lambda",11788,11789,0,0,1,1,1
"phage_lambda",11789,11790,0,0,1,1,1
"phage_lambda",11792,11793,0,0,1,1,1
"phage_lambda",11793,11794,0,0,1,1,1
"phage_lambda",11824,11825,0,0,1,1,1
"phage_lambda",11825,11826,0,0,1,1,1
"phage_lambda",12158,12159,0,0,1,1,1
"phage_lambda",12178,12179,0,0,1,1,1
"phage_lambda",12189,12190,0,0,1,1,1
"phage_lambda",12200,12201,0,0,1,1,1
"phage_lambda",12208,12209,0,0,1,1,1
"phage_lambda",12210,12211,0,0,1,1,1
"phage_lambda",12216,12217,0,0,1,1,1
"phage_lambda",12225,12226,0,0,1,1,1
"phage_lambda",12235,12236,0,0,1,1,1
"phage_lambda",12416,12417,0,0,1,1,1
"phage_lambda",12418,12419,0,0,1,1,1
"phage_lambda",12445,12446,0,0,1,1,1
"phage_lambda",12469,12470,0,0,1,1,1
"phage_lambda",12474,12475,0,0,1,1,1
"phage_lambda",12486,12487,0,0,1,1,1
"phage_lambda",12507,12508,0,0,1,1,1
"phage_lambda",12572,12573,100,1,0,1,1
"phage_lambda",12573,12574,0,0,1,1,1
"phage_lambda",12584,12585,100,1,0,1,1
"phage_lambda",12585,12586,0,0,1,1,1
"phage_lambda",12589,12590,100,1,0,1,1
"phage_lambda",12590,12591,0,0,1,1,1
"phage_lambda",12643,12644,0,0,1,1,1
"phage_lambda",12644,12645,0,0,1,1,1
"phage_lambda",12652,12653,0,0,1,1,1
"phage_lambda",12653,12654,0,0,1,1,1
"phage_lambda",12658,12659,0,0,1,1,1
"phage_lambda",12659,12660,0,0,1,1,1
"phage_lambda",12667,12668,0,0,1,1,1
"phage_lambda",12668,12669,0,0,1,1,1
"phage_lambda",12682,12683,0,0,1,1,1
"phage_lambda",12683,12684,0,0,1,1,1
"phage_lambda",12685,12686,0,0,1,1,1
"phage_lambda",12686,12687,0,0,1,1,1
"phage_lambda",12691,12692,0,0,1,1,1
"phage_lambda",12692,12693,0,0,1,1,1
"phage_lambda",12693,12694,0,0,1,1,1
"phage_lambda",12694,12695,0,0,1,1,1
"phage_lambda",12701,12702,0,0,1,1,1
"phage_lambda",12719,12720,0,0,1,1,1
"phage_lambda",12724,12725,0,0,1,1,1
"phage_lambda",12727,12728,0,0,1,1,1
"phage_lambda",12746,12747,0,0,1,1,1
"phage_lambda",12757,12758,0,0,1,1,1
"phage_lambda",12764,12765,0,0,1,1,1
"phage_lambda",12767,12768,0,0,1,1,1
"phage_lambda",13661,13662,0,0,1,1,1
"phage_lambda",13667,13668,0,0,1,1,1
"phage_lambda",13683,13684,0,0,1,1,1
"phage_lambda",13695,13696,0,0,1,1,1
"phage_lambda",13703,13704,0,0,1,1,1
"phage_lambda",13725,13726,0,0,1,1,1
"phage_lambda",13728,13729,0,0,1,1,1
"phage_lambda",13733,13734,0,0,1,1,1
"phage_lambda",13741,13742,0,0,1,1,1
"phage_lambda",13744,13745,0,0,1,1,1
"phage_lambda",13755,13756,0,0,1,1,1
"phage_lambda",13759,13760,0,0,1,1,1
"phage_lambda",14070,14071,0,0,1,1,1
"phage_lambda",14078,14079,0,0,1,1,1
"phage_lambda",14081,14082,0,0,1,1,1
"phage_lambda",14093,14094,0,0,1,1,1
"phage_lambda",14119,14120,0,0,1,1,1
"phage_lambda",14151,14152,0,0,1,1,1
"phage_lambda",14160,14161,0,0,1,1,1
"phage_lambda",14164,14165,0,0,1,1,1
"phage_lambda",14168,14169,0,0,1,1,1
"phage_lambda",14171,14172,0,0,1,1,1
"phage_lambda",14178,14179,0,0,1,1,1
"phage_lambda",14184,14185,0,0,1,1,1
"phage_lambda",14190,14191,0,0,1,1,1
"phage_lambda",14194,14195,0,0,1,1,1
"phage_lambda",14200,14201,0,0,1,1,1
"phage_lambda",14251,14252,0,0,1,1,1
"phage_lambda",14259,14260,0,0,1,1,1
"phage_lambda",14272,14273,0,0,1,1,1
"phage_lambda",14279,14280,0,0,1,1,1
"phage_lambda",14282,14283,0,0,1,1,1
"phage_lambda",14324,14325,0,0,1,1,1
"phage_lambda",14343,14344,0,0,1,1,1
"phage_lambda",14370,14371,0,0,1,1,1
"phage_lambda",14374,14375,0,0,1,1,1
"phage_lambda",14377,14378,0,0,1,1,1
"phage_lambda",14403,14404,0,0,1,1,1
"phage_lambda",14420,14421,0,0,1,1,1
"phage_lambda",14427,14428,0,0,1,1,1
"phage_lambda",14441,14442,0,0,1,1,1
"phage_lambda",14451,14452,0,0,1,1,1
"phage_lambda",14526,14527,0,0,1,1,1
"phage_lambda",14541,14542,0,0,1,1,1
"phage_lambda",14551,14552,0,0,1,1,1
"phage_lambda",14552,14553,0,0,1,1,1
"phage_lambda",14569,14570,0,0,1,1,1
"phage_lambda",14570,14571,0,0,1,1,1
"phage_lambda",14574,14575,0,0,1,1,1
"phage_lambda",14575,14576,0,0,1,1,1
"phage_lambda",14606,14607,0,0,1,1,1
"phage_lambda",14607,14608,0,0,1,1,1
"phage_lambda",14609,14610,0,0,1,1,1
"phage_lambda",14610,14611,0,0,1,1,1
"phage_lambda",14627,14628,0,0,1,1,1
"phage_lambda",14628,14629,50,1,1,2,2
"phage_lambda",14636,14637,0,0,1,1,1
"phage_lambda",14637,14638,50,1,1,2,2
"phage_lambda",14645,14646,0,0,1,1,1
"phage_lambda",14646,14647,0,0,2,2,2
"phage_lambda",14649,14650,0,0,1,1,1
"phage_lambda",14650,14651,0,0,2,2,2
"phage_lambda",14684,14685,0,0,1,1,1
"phage_lambda",14685,14686,0,0,2,2,2
"phage_lambda",14691,14692,0,0,1,1,1
"phage_lambda",14692,14693,0,0,2,2,2
"phage_lambda",14694,14695,0,0,1,1,1
"phage_lambda",14695,14696,0,0,2,2,2
"phage_lambda",14707,14708,0,0,2,2,2
"phage_lambda",14710,14711,0,0,2,2,2
"phage_lambda",14713,14714,0,0,2,2,2
"phage_lambda",14716,14717,0,0,2,2,2
"phage_lambda",14753,14754,0,0,1,1,1
"phage_lambda",14767,14768,0,0,1,1,1
"phage_lambda",14800,14801,0,0,1,1,1
"phage_lambda",14806,14807,0,0,1,1,1
"phage_lambda",14815,14816,0,0,1,1,1
"phage_lambda",14817,14818,0,0,1,1,1
"phage_lambda",14831,14832,0,0,1,1,1
"phage_lambda",14844,14845,0,0,1,1,1
"phage_lambda",14853,14854,0,0,1,1,1
"phage_lambda",14856,14857,0,0,1,1,1
"phage_lambda",14861,14862,0,0,1,1,1
"phage_lambda",14868,14869,0,0,1,1,1
"phage_lambda",14869,14870,0,0,1,1,1
"phage_lambda",14878,14879,0,0,1,1,1
"phage_lambda",14879,14880,0,0,1,1,1
"phage_lambda",14895,14896,0,0,1,1,1
"phage_lambda",14896,14897,0,0,1,1,1
"phage_lambda",14917,14918,0,0,1,1,1
"phage_lambda",14918,14919,0,0,1,1,1
"phage_lambda",14920,14921,0,0,1,1,1
"phage_lambda",14921,14922,0,0,1,1,1
"phage_lambda",14925,14926,0,0,1,1,1
"phage_lambda",14926,14927,0,0,1,1,1
"phage_lambda",14939,14940,0,0,1,1,1
"phage_lambda",14940,14941,0,0,1,1,1
"phage_lambda",14942,14943,0,0,1,1,1
"phage_lambda",14943,14944,0,0,1,1,1
"phage_lambda",14959,14960,0,0,1,1,1
"phage_lambda",14967,14968,0,0,1,1,1
"phage_lambda",14971,14972,0,0,1,1,1
"phage_lambda",14976,14977,0,0,1,1,1
"phage_lambda",14984,14985,0,0,1,1,1
"phage_lambda",14988,14989,0,0,1,1,1
"phage_lambda",14996,14997,0,0,1,1,1
"phage_lambda",14999,15000,0,0,1,1,1
"phage_lambda",15351,15352,0,0,1,1,1
"phage_lambda",15361,15362,0,0,1,1,1
"phage_lambda",15363,15364,0,0,1,1,1
"phage_lambda",15373,15374,0,0,1,1,1
"phage_lambda",15375,15376,0,0,1,1,1
"phage_lambda",15398,15399,0,0,2,2,2
"phage_lambda",15405,15406,0,0,2,2,2
"phage_lambda",15414,15415,0,0,2,2,2
"phage_lambda",15439,15440,0,0,1,1,1
"phage_lambda",15467,15468,100,1,0,1,1
"phage_lambda",15472,15473,0,0,1,1,1
"phage_lambda",15473,15474,100,1,0,1,1
"phage_lambda",15476,15477,0,0,1,1,1
"phage_lambda",15477,15478,100,1,0,1,1
"phage_lambda",15496,15497,0,0,1,1,1
"phage_lambda",15497,15498,0,0,1,1,1
"phage_lambda",15535,15536,0,0,1,1,1
"phage_lambda",15537,15538,0,0,1,1,1
"phage_lambda",15539,15540,0,0,1,1,1
"phage_lambda",15544,15545,0,0,1,1,1
"phage_lambda",15565,15566,0,0,1,1,1
"phage_lambda",15584,15585,0,0,1,1,1
"phage_lambda",15596,15597,0,0,1,1,1
"phage_lambda",15604,15605,0,0,1,1,1
"phage_lambda",15616,15617,0,0,1,1,1
"phage_lambda",15635,15636,0,0,1,1,1
"phage_lambda",15652,15653,0,0,1,1,1
"phage_lambda",15655,15656,0,0,1,1,1
"phage_lambda",15733,15734,0,0,1,1,1
"phage_lambda",15736,15737,0,0,1,1,1
"phage_lambda",15755,15756,0,0,1,1,1
"phage_lambda",15761,15762,0,0,1,1,1
